alt; T; H; rho; P; mu
0; 288.0; 8428.336280619827; 1.217; 100000.0; 1.789e-05
1000; 286.5635940074925; 8386.299778049166; 1.0802005448993397; 88759.28881670826; 1.7827494448522823e-05
2000; 285.1343521197604; 8344.472933409743; 0.957632875873477; 78687.99308738513; 1.7765207284075575e-05
3000; 283.71223860568205; 8302.854701028262; 0.8479507724349116; 69675.49485907242; 1.7703137743639716e-05
4000; 282.2972179123455; 8261.444040446748; 0.7499205271920969; 61620.42129762505; 1.7641285066862598e-05
5000; 280.8892546641598; 8220.23991639653; 0.6624130738583439; 54429.99785195923; 1.7579648496048157e-05
6000; 279.4883136619703; 8179.2412987723565; 0.5843965181193711; 48019.43452090149; 1.751822727614763e-05
7000; 278.09435988217916; 8138.44716260666; 0.5149290643869241; 42311.34464970617; 1.745702065475031e-05
8000; 276.70735847586906; 8097.856488043902; 0.45315233022143286; 37235.19558105447; 1.7396027882074305e-05
9000; 275.3272747679328; 8057.468260315112; 0.3982850391091916; 32726.790395167754; 1.7335248210957405e-05
10000; 273.9540742562056; 8017.281469712488; 0.3496170813243377; 28727.779895179763; 1.727468089684786e-05
11000; 272.58772261060335; 7977.2951115641745; 0.30650393178768914; 25185.203926679467; 1.7214325197795333e-05
12000; 271.22818567226363; 7937.508186209135; 0.2683614131473447; 22051.061063873844; 1.7154180374441747e-05
13000; 269.8754294526922; 7897.919698972161; 0.23466079174350968; 19281.905648603915; 1.7094245690012266e-05
14000; 268.5294201329131; 7858.528660139014; 0.2049241936754798; 16838.4711319211; 1.7034520410306252e-05
15000; 267.1901240626232; 7819.334084931668; 0.17872032785502223; 14685.318640511274; 1.6975003803688283e-05
16000; 265.8575077593511; 7780.334993483703; 0.15566050270020435; 12790.509671339714; 1.691569514107919e-05
17000; 264.53153790761974; 7741.530410815802; 0.13539492298955985; 11125.301806866051; 1.6856593695947106e-05
18000; 263.2121813581137; 7702.919366811373; 0.11760925335079439; 9663.866339424354; 1.6797698744298592e-05
19000; 261.89940512685064; 7664.500896192313; 0.10202143489343934; 8383.026696256315; 1.673900956466976e-05
20000; 260.59317639435636; 7626.274038494849; 0.08837874160344791; 7262.016565607881; 1.6680525438117413e-05
21000; 259.2934625048445; 7588.237838045549; 0.0764550632922784; 6282.256638642432; 1.662224564821028e-05
22000; 258.00023096540014; 7550.391343937421; 0.06604840212626872; 5427.1489010902815; 1.65641694810202e-05
23000; 256.71344944516744; 7512.733610006142; 0.05697857004703931; 4681.887431967075; 1.6506296225113406e-05
24000; 255.43308577454135; 7475.263694806401; 0.04908507472346916; 4033.284693793686; 1.644862517154178e-05
25000; 254.15910794436348; 7437.980661588368; 0.042225182043963284; 3469.6123290027344; 1.6391155613834203e-05
26000; 252.89148410512166; 7400.88357827427; 0.03627214355807564; 2980.4555101130354; 1.6333886847987863e-05
27000; 251.6301825661539; 7363.97151743509; 0.031113577703214195; 2556.579926311766; 1.6276818172459675e-05
28000; 250.3751717948561; 7327.243556267389; 0.026649994099633985; 2189.810525853244; 1.6219948888157645e-05
29000; 249.1264204158935; 7290.698776570221; 0.022793450660096613; 1872.92117174171; 1.6163278298432328e-05
30000; 247.88389721041665; 7254.336264722191; 0.0194663337346937; 1599.534407123558; 1.6106805709068292e-05
31000; 246.6475711152807; 7218.15511165861; 0.01660025199203843; 1364.0305663137576; 1.605053042827561e-05
32000; 245.41741122226887; 7182.154412848766; 0.014135035221353412; 1161.4655070955966; 1.5994451766681393e-05
33000; 244.19338677731977; 7146.333268273314; 0.012017829722332483; 987.4962795671719; 1.5938569037321327e-05
34000; 242.9754671797585; 7110.690782401774; 0.010202282427820382; 838.3140860986343; 1.5882881555631287e-05
35000; 241.7636219815317; 7075.226064170143; 0.008647806375490636; 710.583925677127; 1.5827388639438922e-05
36000; 240.55782088644634; 7039.9382269586185; 0.007318920606321533; 601.3903538472912; 1.5772089608955314e-05
37000; 239.3580337494122; 7004.826388569431; 0.006184658017623077; 508.18882642753294; 1.5716983786766647e-05
38000; 238.16423057568835; 6969.889671204793; 0.005218035134832268; 428.76213104620115; 1.5662070497825913e-05
39000; 236.97638152013332; 6935.1272014449505; 0.004395578187752132; 361.18144517273066; 1.560734906944464e-05
40000; 235.79445688645876; 6900.538110226349; 0.0036969002821322997; 303.77159261563673; 1.5552818831284633e-05
